AAPL,01/12/06,91.8,92.33,90.1,91.32,28395700
AXP,01/12/06,58.8,58.87,58,58.55,4838300
BA,01/12/06,89.6,90.05,88.65,89.55,5154400
CAT,01/12/06,62.44,62.44,60.3,61.19,7193700
CSCO,01/12/06,26.95,27.08,26.45,26.69,47014700
CVX,01/12/06,72.33,73.26,71.83,73.11,10402900
DD,01/12/06,46.85,46.87,45.9,46.45,7152000
DIS,01/12/06,33.05,33.13,32.76,33.09,8492000
GE,01/12/06,35.09,35.4,34.96,35.28,23993600
GS,01/12/06,195.7,196.43,191.52,194.5,4820900
HD,01/12/06,39.65,39.96,38.64,38.97,47279400
IBM,01/12/06,91.9,91.91,90.55,91.25,5445400
INTC,01/12/06,21.32,21.4,20.6,20.93,65117600
JNJ,01/12/06,65.91,66.06,65.33,65.97,8947400
JPM,01/12/06,46.5,46.51,45.51,46.01,14731400
KO,01/12/06,46.65,46.72,46.23,46.57,7730500
MCD,01/12/06,42.18,42.26,41.7,42.08,6326900
MMM,01/12/06,81.55,81.55,78.92,79.98,5475200
MRK,01/12/06,44.65,45.08,44.45,45.06,13565700
MSFT,01/12/06,29.23,29.3,28.8999,29.12,72257000
NKE,01/12/06,98.7,99.15,96.12,97.6,1715300
PFE,01/12/06,27.58,27.86,27.5,27.86,40177600
PG,01/12/06,63.01,63.1,62.21,62.69,6604400
TRV,01/12/06,51.75,51.75,50.96,51.25,2718900
UNH,01/12/06,49.44,49.84,48.49,48.83,7665800
UTX,01/12/06,64.38,64.73,63.44,63.86,4806300
VZ,01/12/06,35.13,35.13,34.48,34.64,11256100
WMT,01/12/06,46,46.1,45.42,45.87,25024700
XOM,01/12/06,76.78,77.5,75.81,77.2,21308400
AAPL,04/12/06,91.88,92.05,90.5,91.12,25340600
AXP,04/12/06,58.8,59.98,58.7,59.89,5511000
BA,04/12/06,89.55,90.6,89.42,89.58,3492900
CAT,04/12/06,61.39,61.79,60.95,61.49,4950300
CSCO,04/12/06,26.935,27.57,26.86,27.25,68450100
CVX,04/12/06,73.11,73.54,72.7,73.5,7489600
DD,04/12/06,46.69,47.14,46.5,46.91,3981000
DIS,04/12/06,33.22,33.5,33.09,33.44,7918900
GE,04/12/06,35.43,35.5,35.27,35.39,18821400
GS,04/12/06,195.65,200.0833,195.39,200.05,4259100
HD,04/12/06,38.7,39.47,38.41,39.2,14555500
IBM,04/12/06,92.5,93.95,92.25,93.51,7507900
INTC,04/12/06,21.09,21.45,20.81,21.22,62659300
JNJ,04/12/06,66.39,66.72,65.81,66.28,7785800
JPM,04/12/06,46.28,47.13,46.16,46.84,13148100
KO,04/12/06,46.73,47.26,46.54,46.83,7002200
MCD,04/12/06,42.05,42.67,42,42.5,5170900
MMM,04/12/06,80.42,81.29,80.01,80.89,2896700
MRK,04/12/06,45.52,45.9,44.3,44.7,18720300
MSFT,04/12/06,29.23,29.52,29.17,29.33,55123400
NKE,04/12/06,97,98.33,96.34,98.14,1631000
PFE,04/12/06,23.52,27.8,23.5,24.9,289209500
PG,04/12/06,63.08,63.55,62.75,63.42,7083800
TRV,04/12/06,51.2,51.66,51.2,51.47,2140200
UNH,04/12/06,48.85,49.53,48.62,48.91,7844100
UTX,04/12/06,64.22,65.49,64.03,64.9,4069100
VZ,04/12/06,34.81,34.94,34.68,34.85,12574100
WMT,04/12/06,46.25,46.51,45.87,46.29,14495900
XOM,04/12/06,77.2,77.8,76.51,77.77,19348600
AAPL,05/12/06,91.655,92.33,90.87,91.27,23672800
AXP,05/12/06,59.42,59.98,59.28,59.85,4365500
BA,05/12/06,89.59,91.1,89.17,90.73,4385100
CAT,05/12/06,61.49,62.5,61.39,62.15,4508600
CSCO,05/12/06,27.4,27.44,27,27.04,43080300
CVX,05/12/06,73.66,74.17,72.78,73.95,8262900
DD,05/12/06,46.76,47.25,46.56,47.01,3795400
DIS,05/12/06,33.44,34.2,33.38,34.2,13718900
GE,05/12/06,35.39,35.5,35.13,35.27,30242900
GS,05/12/06,199.7,202.25,198.21,201.61,3733000
HD,05/12/06,39.2,39.7,39.03,39.37,11901800
IBM,05/12/06,93.6,94.64,93.44,94.48,6886200
INTC,05/12/06,21.21,21.4,21.11,21.12,33748700
JNJ,05/12/06,66.35,66.37,65.94,66.17,6564300
